"Date","AUS"
"16/01","99"
"17/01","99"
"18/01","99"
"19/01","99"
"20/01","61"
"21/01","61"
"22/01","61"
"23/01","61"
"24/01","61"
"25/01","61"
"26/01","61"
"27/01","48"
"28/01","48"
"29/01","48"
"30/01","48"
"31/01","48"
"01/02","48"
"02/02","48"
"03/02","43"
"04/02","43"
"05/02","43"
"06/02","43"
"07/02","43"
"08/02","43"
"09/02","43"
"10/02","43"
"11/02","43"
"12/02","43"
"13/02","43"
"14/02","43"
"15/02","43"
"16/02","43"
"17/02","45"
"18/02","45"
"19/02","45"
"20/02","45"
"21/02","45"
"22/02","45"
"23/02","45"
"24/02","36"
"25/02","36"
"26/02","36"
"27/02","36"
"28/02","36"
"01/03","36"
"02/03","36"
"03/03","31"
"04/03","31"
"05/03","31"
"06/03","31"
"07/03","31"
"08/03","31"
"09/03","31"
"10/03","36"
"11/03","36"
"12/03","36"
"13/03","36"
"14/03","36"
"15/03","36"
"16/03","36"
"17/03","28"
"18/03","28"
"19/03","28"
"20/03","28"
"21/03","28"
"22/03","28"
"23/03","28"
"24/03","35"
"25/03","35"
"26/03","35"
"27/03","35"
"28/03","35"
"29/03","35"
"30/03","35"
"31/03","34"
"01/04","34"
"02/04","34"
"03/04","34"
"04/04","34"
"05/04","34"
"06/04","34"
"07/04","45"
"08/04","45"
"09/04","45"
"10/04","45"
"11/04","45"
"12/04","45"
"13/04","45"
"14/04","41"
"15/04","41"
"16/04","41"
"17/04","41"
"18/04","41"
"19/04","41"
"20/04","41"
"21/04","55"
"22/04","55"
"23/04","55"
"24/04","55"
"25/04","55"
"26/04","55"
"27/04","55"
"28/04","71"
"29/04","71"
"30/04","71"
"01/05","71"
"02/05","71"
"03/05","71"
"04/05","71"
"05/05","63"
"06/05","63"
"07/05","63"
"08/05","63"
"09/05","63"
"10/05","63"
"11/05","63"
"12/05","60"
"13/05","60"
"14/05","60"
"15/05","60"
"16/05","60"
"17/05","60"
"18/05","60"
"19/05","56"
"20/05","56"
"21/05","56"
"22/05","56"
"23/05","56"
"24/05","56"
"25/05","56"
"26/05","71"
"27/05","71"
"28/05","71"
"29/05","71"
"30/05","71"
"31/05","71"
"01/06","71"
"02/06","61"
"03/06","61"
"04/06","61"
"05/06","61"
"06/06","61"
"07/06","61"
"08/06","61"
"09/06","87"
"10/06","87"
"11/06","87"
"12/06","87"
"13/06","87"
"14/06","87"
"15/06","87"
"16/06","66"
"17/06","66"
"18/06","66"
"19/06","66"
"20/06","66"
"21/06","66"
"22/06","66"
"23/06","58"
"24/06","58"
"25/06","58"
"26/06","58"
"27/06","58"
"28/06","58"
"29/06","58"
"30/06","41"
"01/07","41"
"02/07","41"
"03/07","41"
"04/07","41"
"05/07","41"
"06/07","41"
"07/07","42"
"08/07","42"
"09/07","42"
"10/07","42"
"11/07","42"
"12/07","42"
"13/07","42"
"14/07","45"
"15/07","45"
"16/07","45"
"17/07","45"
"18/07","45"
"19/07","45"
"20/07","45"
"21/07","27"
"22/07","27"
"23/07","27"
"24/07","27"
"25/07","27"
"26/07","27"
"27/07","27"
"28/07","24"
"29/07","24"
"30/07","24"
"31/07","24"
"01/08","24"
"02/08","24"
"03/08","24"
"04/08","31"
