"","Active Cases","Deaths","Recoveries","Inactives removed"
"16/11","17,221","1,900","100,006","72,494"
"17/11","17,341","1,909","100,870","72,724"
"18/11","16,915","1,922","102,299","72,982"
"19/11","16,829","1,933","103,583","73,273"
"20/11","12,535","1,938","108,998","73,507"
"21/11","12,536","1,944","110,223","73,740"
"22/11","12,413","1,948","111,332","73,958"
"23/11","12,245","1,968","112,267","74,173"
"24/11","12,623","1,973","113,223","74,295"
"25/11","13,142","1,978","113,886","74,643"
"26/11","13,439","1,985","114,638","75,208"
"27/11","14,194","1,990","115,518","75,046"
"28/11","14,272","1,994","116,490","75,228"
"29/11","14,405","1,997","117,336","75,404"
"30/11","14,236","2,006","118,345","75,651"
"01/12","14,814","2,011","118,976","75,855"
"02/12","15,652","2,021","119,626","76,061"
"03/12","16,001","2,033","120,617","76,235"
"04/12","17,589","2,043","120,496","76,448"
"05/12","18,724","2,051","120,417","76,647"
"06/12","19,785","2,056","120,422","76,855"
"07/12","16,337","2,065","125,078","77,078"
"08/12","14,728","2,072","128,125","77,336"
"09/12","14,801","2,082","129,451","77,578"
"10/12","15,040","2,084","130,738","77,778"
"11/12","15,415","2,100","131,613","78,262"
"12/12","15,973","2,104","132,733","78,120"
"13/12","16,556","2,106","133,765","78,341"
"14/12","16,467","2,113","135,447","78,740"
"15/12","18,016","2,117","136,494","78,935"
"16/12","20,201","2,126","137,388","79,254"
"17/12","22,636","2,134","138,563","79,437"
"18/12","25,703","2,142","139,145","79,807"
"19/12","27,798","2,146","140,732","80,056"
"20/12","30,198","2,146","141,948","80,393"
"21/12","33,209","2,154","142,890","80,954"
"22/12","37,374","2,162","143,987","81,384"
"23/12","44,343","2,173","145,070","81,955"
"24/12","51,729","2,182","146,459","82,220"
"25/12","61,418","2,188","146,525","82,455"
"26/12","66,962","2,190","148,183","84,625"
"27/12","73,691","2,197","151,181","85,027"
"28/12","81,279","2,202","152,607","87,197"
"29/12","95,489","2,210","154,217","89,525"
"30/12","112,670","2,226","155,587","92,209"
"31/12","140,889","2,241","157,244","95,132"
"01/01","161,445","2,254","157,244","109,769"
"02/01","188,644","2,259","168,279","103,746"
"03/01","218,541","2,266","170,150","109,001"
"04/01","254,284","2,271","173,931","117,167"
"05/01","294,581","2,290","188,329","126,906"
"06/01","378,895","2,302","200,263","102,767"
"07/01","392,250","2,320","213,158","154,198"
"08/01","451,768","2,346","224,095","172,830"
"09/01","512,785","2,367","231,088","178,692"
"10/01","587,971","2,389","231,088","153,929"
"11/01","612,619","2,416","231,088","199,055"
"12/01","696,699","2,465","285,578","133,987"
"13/01","739,097","2,522","311,158","147,814"
"14/01","770,942","2,578","311,158","183,376"
"15/01","781,963","2,633","311,158","233,293"
"16/01","830,925","2,668","311,158","241,291"
"17/01","717,936","2,698","311,158","401,931"
"18/01","694,735","2,776","311,158","464,170"
