day,S,I,D,T1,T2,H,E,alpha,beta,gamma,delta1,delta2,epsi,sigma1,sigma2,tau1,tau2,lambda
20-Dec-2020,0.936031061385838,0.0103233532471487,0.00897742039056324,0.000496542006630169,4.82662716163865e-05,0.0432897511209477,0.00083360557729241,0.0528350703598804,0.00471415187983973,0.0266520064786282,0.00169178866396511,0.000102327359027878,0.000300723870716851,0.0287745331407758,0.0256790869212783,0.00799749547657452,0.00799880553129452,0.0378534591676458
21-Dec-2020,0.935484095129916,0.0102081287961755,0.00889668852273372,0.000493313215076228,4.77134418336961e-05,0.0440321132694597,0.00083794762483722,0.0529504361683641,0.00471783229288926,0.0270869849264764,0.00168846077216584,0.000103683279881571,0.00043996895380813,0.028803215434128,0.0256836339850742,0.0079974440841185,0.00799877813615089,0.037461643578896
22-Dec-2020,0.934942309829825,0.0100946612269289,0.00882385682667474,0.000489964533180468,4.72491455322677e-05,0.0447596991721373,0.000842259265732333,0.0545406923560528,0.00478851703677024,0.0275223020996056,0.00168534646052098,0.000105224353501244,0.000485942383899427,0.0288292362312159,0.0256879617381876,0.00799738734414694,0.0079987477459866,0.0370721942486819
23-Dec-2020,0.934390850645878,0.00999721201614653,0.00875868884594769,0.00048656258205402,4.68269292659848e-05,0.0454733186522632,0.00084654032844923,0.0572210767503388,0.00490349031279549,0.0279518023107686,0.00168243859768614,0.000106918371018131,0.000491859842485825,0.0288526834188117,0.0256921093979149,0.007997325511078,0.00799871448287574,0.0366905043392192
24-Dec-2020,0.933818420323458,0.00992571147635495,0.00870120280205095,0.000483144901613395,4.642789737254e-05,0.0461743018027394,0.000850790796414667,0.0595352918276345,0.00499772507875556,0.0283691202052974,0.00167972987351513,0.00010873146036963,0.00049393382064231,0.0288736496347424,0.0256961180949542,0.00799725894544989,0.00799867858899669,0.0363221674405114
25-Dec-2020,0.933227676282073,0.00987595697995775,0.0086514229233663,0.000479729998322216,4.60510631950338e-05,0.0468641519552739,0.000855010797814754,0.0607901327397048,0.00504711613216416,0.0287679354861809,0.00167721285469947,0.000110629263699831,0.000495123569999654,0.0288922311877258,0.0257000294427759,0.00799718816964931,0.00799864039218887,0.0359727270084587
26-Dec-2020,0.932628037034119,0.00983746474915554,0.00860909878987666,0.000476333883216175,4.56966285163386e-05,0.0475441683188,0.000859200596319771,0.0613835476312203,0.0050700827186892,0.029142238161376,0.00167488006843667,0.000112577906924591,0.000495887673073742,0.0289085266310506,0.0257038843168835,0.00799711382634123,0.00799860026661542,0.0356474307005502
27-Dec-2020,0.932025393528594,0.00980383012501141,0.00857367857164837,0.000472970863928077,4.53647158776943e-05,0.0482154016161409,0.000863360578802648,0.0618977164164002,0.00508953849161677,0.0294865060777545,0.00167272409675712,0.000114544701741597,0.000496410393198409,0.028922635157094,0.0257077219667475,0.00799703656710509,0.00799855857990911,0.0353510812293099
28-Dec-2020,0.931420255368971,0.00977426822640107,0.0085444552539353,0.000469653373576382,4.50552258105639e-05,0.048878821311673,0.000867491239636306,0.0625149905323104,0.0051124672832771,0.0297957590051849,0.00167073765549655,0.000116498601717097,0.000496783115798346,0.0289346551852194,0.0257115794432984,0.00799695697769276,0.00799851567160483,0.0350879979939489
29-Dec-2020,0.930811403117375,0.00974972362783053,0.00852068217149751,0.00046639195700842,4.47678023118786e-05,0.0495354381604309,0.000871593163549366,0.0633223432019878,0.00514206447937994,0.0300655400080702,0.0016689136424357,0.000118410533735206,0.000497055191692048,0.0289446833762476,0.0257154911975346,0.00799687559575638,0.00799847187496161,0.0348620353356516
